0, 11069.050781 55 89 38 106 47 88 21 35 16 60 65 42 101 47 98 34 61 19 49 36;
1, 11048.998047 55 89 37 107 48 90 22 36 16 60 63 43 100 46 98 35 63 19 48 34;
2, 11026.955078 56 88 36 108 49 91 23 38 16 59 61 44 99 46 99 36 65 19 47 32;
3, 11006.958984 57 87 36 108 50 91 24 40 16 58 59 45 98 45 99 37 67 19 46 30;
4, 10986.956055 58 86 35 109 51 92 25 41 16 57 57 46 97 45 100 38 69 20 45 28;
5, 10966.957031 59 85 35 109 52 93 26 43 17 56 55 46 97 44 100 38 70 20 45 26;
6, 10946.966797 59 82 35 109 52 93 27 45 17 56 53 47 96 43 101 39 72 20 44 24;
7, 10924.96875 60 81 36 108 51 94 27 47 17 55 52 48 95 43 101 40 74 20 43 22;
8, 10904.958008 61 79 36 107 51 94 28 49 17 54 50 49 94 42 102 41 76 21 42 21;
9, 10884.958984 62 77 37 106 50 95 29 50 18 53 48 50 93 42 103 42 78 21 41 19;
10, 10864.97168 63 73 39 104 49 96 31 54 18 52 44 51 91 41 104 44 81 21 40 17;
11, 10849.00293 64 73 39 104 49 96 31 54 18 52 44 51 91 41 104 44 81 21 40 15;
12, 10831.036133 63 71 40 104 49 96 32 56 18 51 42 52 90 40 104 44 83 21 39 15;
13, 10793.685547 62 69 41 103 48 97 32 58 18 50 40 53 90 39 105 45 85 22 38 15;
14, 10772.993164 61 67 41 102 47 97 33 60 19 49 38 54 89 39 105 46 87 22 37 15;
15, 10752.978516 60 65 42 101 47 98 34 61 19 49 36 55 88 38 106 47 89 22 37 16;
16, 10733.020508 60 63 43 100 46 98 35 63 19 48 34 55 87 38 106 48 91 23 36 16;
17, 10712.019531 59 61 44 99 46 99 36 65 19 47 32 56 86 37 107 49 91 24 38 16;
18, 10683.008789 58 59 45 98 45 99 37 67 19 46 30 57 85 37 107 49 92 25 40 16;
19, 10659.875977 57 57 46 97 45 100 38 69 20 45 28 58 84 36 108 50 93 26 41 16;
20, 10638.998047 56 55 46 97 44 100 38 70 20 45 26 59 83 35 108 51 93 27 43 17;
21, 10618.994141 56 53 47 96 43 101 39 72 20 44 24 59 81 36 108 51 94 27 45 17;
22, 10600.96875 55 52 48 95 43 101 40 74 20 43 22 60 79 36 107 51 94 28 47 17;
23, 10578.279297 54 50 49 94 42 102 41 76 21 42 21 61 77 37 106 50 95 29 49 17;
24, 10546.952148 53 48 50 93 42 103 42 78 21 41 19 62 75 38 105 50 95 30 50 18;
25, 10525.665039 53 46 50 92 41 103 43 80 21 41 17 63 73 39 104 49 96 31 52 18;
26, 10504.958008 52 44 51 91 41 104 44 81 21 40 15 63 71 40 104 49 96 32 54 18;
27, 10484.96 51 42 52 90 40 104 44 83 21 39 15 62 69 41 103 48 97 32 56 18;
28, 10464.970703 50 40 53 90 39 105 45 85 22 38 15 61 67 41 102 47 97 33 58 18;
29, 10444.969727 49 38 54 89 39 105 46 87 22 37 16 60 65 42 101 47 98 34 60 19;
30, 10424.974609 49 36 55 88 38 106 47 89 22 37 16 60 63 43 100 46 98 35 61 19;
31, 10405.043945 48 34 55 87 38 106 48 91 23 38 16 59 61 44 99 46 99 36 63 19;
32, 10384.989258 47 32 56 86 37 107 49 91 24 40 16 58 59 45 98 45 99 37 65 19;
33, 10365.001953 46 30 57 85 37 107 49 92 25 41 16 57 57 46 97 45 100 38 67 19;
34, 10344.994141 45 28 58 84 36 108 50 93 26 43 17 56 55 46 97 44 100 38 69 20;
35, 10324.765625 45 26 59 83 35 108 51 93 27 45 17 56 53 47 96 43 101 39 70 20;
36, 10304.99707 44 24 59 81 36 108 51 94 27 47 17 55 52 48 95 43 101 40 72 20;
37, 10285.001953 43 22 60 79 36 107 51 94 28 49 17 54 50 49 94 42 102 41 74 20;
38, 10265.010742 42 21 61 77 37 106 50 95 29 50 18 53 48 50 93 42 103 42 76 21;
39, 10243.631836 41 19 62 75 38 105 50 95 30 52 18 53 46 50 92 41 103 43 78 21;
40, 10213.018555 41 17 63 73 39 104 49 96 31 54 18 52 44 51 91 41 104 44 80 21;
41, 10191.71582 40 15 63 71 40 104 49 96 32 56 18 51 42 52 90 40 104 44 81 21;
