0, 0;
1, 19. 19 45 30 57 85 37 107 50 92 25 41 16 57 57 45 97 45 101 37 67;
2, 13. 19 46 32 56 86 37 107 49 92 24 40 16 58 59 45 98 45 100 36 65;
3, 22. 19 47 34 55 87 38 106 48 91 23 38 16 59 61 44 99 46 99 36 63;
4, 18. 19 48 36 54 88 39 106 47 89 22 37 16 60 63 43 100 47 99 35 61;
5, 20. 18 48 38 53 89 39 105 46 87 22 38 16 60 65 42 101 47 98 34 60;
6, 27. 18 49 40 53 89 40 105 45 85 21 38 15 61 67 41 102 48 98 33 58;
7, 17. 18 50 42 52 90 40 104 45 83 21 39 15 62 69 41 103 48 97 32 56;
8, 18. 18 51 44 51 91 41 104 44 82 21 40 15 63 71 40 104 49 97 31 54;
9, 18. 18 52 46 50 92 41 103 43 80 21 41 17 63 73 39 104 49 96 31 52;
10, 20. 17 52 48 49 93 42 102 42 78 21 41 19 62 75 38 105 50 96 30 50;
11, 20. 17 53 49 48 94 43 102 41 76 20 42 20 61 77 37 106 51 95 29 49;
12, 20. 17 54 51 48 95 43 101 40 74 20 43 22 60 79 36 107 51 95 28 47;
13, 21. 17 55 53 47 96 44 101 39 72 20 44 24 59 80 36 108 52 94 27 45;
14, 19. 17 56 55 46 97 44 100 39 71 20 45 26 59 83 35 108 51 93 26 43;
15, 29. 16 56 57 45 97 45 100 38 69 20 45 28 58 84 36 108 50 93 25 41;
16, 18. 16 57 59 44 98 45 99 37 67 19 46 30 57 85 37 107 50 92 25 40;
17, 13. 16 58 61 44 99 46 99 36 65 19 47 32 56 86 37 107 49 92 24 38;
18, 20. 16 59 63 43 100 47 98 35 63 19 48 34 55 87 38 106 48 91 23 36;
19, 20. 16 60 65 42 101 47 98 34 62 19 49 36 55 88 38 106 47 89 22 37;
20, 20. 15 60 67 41 102 48 97 33 60 19 49 38 54 89 39 105 46 87 22 38;
21, 20. 15 61 69 40 103 48 97 33 58 18 50 40 53 89 39 105 45 85 21 38;
22, 20. 15 62 71 40 104 49 96 32 56 18 51 42 52 90 40 104 45 83 21 39;
23, 20. 15 63 73 39 104 49 96 31 54 18 52 44 51 91 41 104 44 82 21 40;
24, 20. 17 64 73 39 104 49 96 31 54 18 52 44 51 91 41 104 44 82 21 40;
25, 20. 19 63 75 38 105 50 95 30 52 18 53 46 50 92 41 103 43 80 21 41;
26, 23. 20 62 77 37 106 50 95 29 51 17 53 48 50 93 42 102 42 78 21 41;
27, 17. 22 61 79 36 107 51 94 28 49 17 54 50 49 94 42 102 41 76 20 42;
28, 20. 24 60 80 35 108 52 94 27 47 17 55 51 48 95 43 101 40 74 20 43;
29, 20. 26 59 83 35 108 51 93 27 45 17 56 53 47 96 43 101 39 72 20 44;
30, 20. 28 59 84 36 108 50 92 26 43 17 57 55 46 97 44 100 39 71 20 45;
31, 22. 30 58 85 36 107 50 92 25 41 16 57 57 45 97 45 100 38 69 20 45;
32, 18. 32 57 86 37 107 49 91 24 40 16 58 59 45 98 45 99 37 67 19 46;
33, 20. 34 56 87 38 106 48 91 23 38 16 59 61 44 99 46 99 36 65 19 47;
34, 20. 36 55 88 38 106 47 89 22 37 16 60 63 43 100 46 98 35 63 19 48;
35, 20. 38 55 89 39 105 46 87 22 38 16 60 65 42 101 47 98 34 62 19 49;
36, 23. 40 54 89 39 105 45 85 22 38 15 61 67 41 102 47 97 33 60 19 49;
37, 17. 42 53 90 40 104 44 83 21 39 15 62 69 41 103 48 97 33 58 18 50;
38, 20. 44 52 91 40 104 44 81 21 40 15 63 71 40 104 49 96 32 56 18 51;
39, 20. 46 51 92 41 103 43 79 21 41 17 63 73 39 104 49 96 31 54 18 52;
40, 20. 48 50 93 42 103 42 78 21 42 19 62 75 38 105 50 95 30 52 18 53;
41, 23. 50 50 94 42 102 41 76 21 42 20 61 77 37 106 50 95 29 51 17 53;
42, 17. 51 49 95 43 101 40 74 20 43 22 60 79 36 107 51 94 28 49 17 54;
43, 20. 53 48 96 43 101 39 72 20 44 24 60 81 36 108 51 94 27 47 17 55;
44, 20. 55 47 97 44 100 39 70 20 45 26 59 83 35 108 51 93 27 45 17 56;
45, 28. 57 46 97 44 100 38 69 20 45 28 58 84 36 108 50 92 26 43 17 57;
46, 18. 59 45 98 45 99 37 67 19 46 30 57 85 37 107 49 92 25 41 16 57;
47, 14. 61 45 99 46 99 36 65 19 47 32 56 86 37 107 49 91 24 40 16 58;
48, 20. 63 44 100 46 98 35 63 19 48 34 55 87 38 106 48 91 23 38 16 59;
49, 20. 65 43 101 47 98 34 61 19 49 36 55 88 38 106 47 89 22 37 16 60;
50, 20. 67 42 102 47 97 33 59 19 49 38 54 89 39 105 46 87 22 38 16 60;
51, 20. 69 41 103 48 97 33 58 18 50 40 53 89 39 105 45 85 22 38 15 61;
52, 20. 71 41 104 49 96 32 56 18 51 42 52 90 40 104 44 83 21 39 15 62;
53, 20. 73 40 104 49 96 31 54 18 52 44 51 91 41 104 44 81 21 40 15 63;
54, 20. 75 39 105 50 95 30 52 18 53 46 50 92 41 103 43 79 21 41 17 63;
55, 20. 77 38 106 50 95 29 50 18 53 48 50 93 42 103 42 78 21 42 19 62;
56, 23. 79 37 107 51 94 28 49 17 54 50 49 94 42 102 41 76 21 42 20 61;
57, 17. 81 36 108 51 94 27 47 17 55 51 48 95 43 101 40 74 20 43 22 60;
58, 20. 82 36 109 52 93 27 45 17 56 53 47 96 43 101 39 72 20 44 24 60;
59, 20. 83 35 109 52 93 27 45 17 56 53 47 96 43 101 39 72 20 44 24 60;
60, 20. 84 35 108 51 93 26 43 17 57 55 46 97 44 100 38 70 20 45 26 59;
61, 23. 85 36 108 50 92 25 41 16 57 57 46 97 45 100 38 69 20 45 28 58;
62, 17. 86 37 107 49 91 24 39 16 58 59 45 98 45 99 37 67 19 46 30 57;
63, 20. 87 37 107 49 91 23 38 16 59 61 44 99 46 99 36 65 19 47 32 56;
64, 20. 88 38 106 48 89 22 37 16 60 63 43 100 46 98 35 63 19 48 34 55;
65, 20. 89 38 106 47 87 22 37 16 60 65 42 101 47 98 34 61 19 49 36 55;
66, 23. 89 39 105 46 85 22 38 15 61 67 41 102 47 97 33 59 19 49 38 54;
67, 17. 90 39 105 45 83 21 39 15 62 69 41 103 48 97 32 58 18 50 40 53;
68, 20. 91 40 104 44 81 21 40 15 63 71 40 104 49 96 32 56 18 51 42 52;
69, 20. 92 41 104 43 80 21 41 17 63 73 39 104 49 96 31 54 18 52 44 51;
70, 20. 93 41 103 43 78 21 41 19 62 75 38 105 50 95 30 52 18 53 46 50;
